"Dependents","Applicant_Income","Coapplicant_Income","Loan_Amount","Loan_Amount_Term","Gender_Male","Married_Yes","Education_Not Graduate","Self_Employed_Yes","Credit_History_1","Loan_Status_Y","Property_Area_Urban","Property_Area_Semiurban","Property_Area_Rural"
1,4583,1508,128,360,1,1,0,0,1,0,0,0,1
0,3000,0,66,360,1,1,0,1,1,1,1,0,0
0,2583,2358,120,360,1,1,1,0,1,1,1,0,0
0,6000,0,141,360,1,0,0,0,1,1,1,0,0
0,2333,1516,95,360,1,1,1,0,1,1,1,0,0
2,3200,700,70,360,1,1,0,0,1,1,1,0,0
0,1853,2840,114,360,1,0,0,0,1,0,0,0,1
2,1299,1086,17,120,1,1,0,0,1,1,1,0,0
0,4950,0,125,360,1,0,0,0,1,1,1,0,0
0,3510,0,76,360,0,0,0,0,0,0,1,0,0
0,4887,0,133,360,1,1,1,0,1,0,0,0,1
0,7660,0,104,360,1,1,1,0,0,0,1,0,0
0,2600,1911,116,360,1,1,1,0,0,0,0,1,0
0,2799,2253,122,360,1,1,0,0,1,1,0,1,0
2,4226,1040,110,360,1,1,1,0,1,1,1,0,0
0,1442,0,35,360,1,0,1,0,1,0,1,0,0
0,3167,0,74,360,1,0,0,0,1,0,1,0,0
1,4692,0,106,360,1,0,0,1,1,0,0,0,1
0,3500,1667,114,360,1,1,0,0,1,1,0,1,0
0,3667,1459,144,360,0,1,0,0,1,1,0,1,0
0,3748,1668,110,360,1,0,1,0,1,1,0,1,0
0,3600,0,80,360,1,0,0,0,1,0,1,0,0
0,1800,1213,47,360,1,0,0,0,1,1,1,0,0
0,2400,0,75,360,1,1,0,0,0,1,1,0,0
0,3941,2336,134,360,1,1,0,0,1,1,0,1,0
1,5649,0,44,360,1,1,0,0,1,1,1,0,0
0,5821,0,144,360,1,1,0,0,1,1,1,0,0
0,2645,3440,120,360,0,1,0,0,0,0,1,0,0
0,4000,2275,144,360,0,0,0,0,1,1,0,1,0
0,1928,1644,100,360,0,1,1,0,1,1,0,1,0
0,3086,0,120,360,0,0,0,0,1,1,0,1,0
0,4230,0,112,360,0,0,0,0,1,0,0,1,0
2,4616,0,134,360,1,1,0,0,1,0,1,0,0
2,2708,1167,97,360,1,1,0,0,1,1,0,1,0
0,2132,1591,96,360,1,1,0,0,1,1,0,1,0
0,3366,2200,135,360,1,1,0,0,1,0,0,0,1
2,3357,2859,144,360,1,1,1,0,1,1,1,0,0
0,2500,3796,120,360,1,1,0,0,1,1,1,0,0
