"Applicant_Income","Gender","Married","Education","Self_Employed","Credit_History","Loan_Status","Semiurban","Rural","Family_I_D"
3315,1,1,0,0,1,1,1,0,3315
2425,1,1,0,0,1,1,1,0,0
3748,1,0,1,0,1,1,1,0,0
2708,1,1,0,0,1,1,1,0,7750
4009,1,1,0,0,1,1,1,0,11452
3333,1,0,0,0,1,1,0,0,0
2620,1,1,0,0,1,1,1,0,0
3463,0,0,0,1,0,1,0,0,0
4354,1,0,0,0,1,1,0,1,8708
3704,1,1,0,0,1,1,0,1,0
1759,1,1,0,0,1,1,1,0,0
6608,1,1,1,0,1,1,0,0,6608
3500,1,1,1,0,1,1,0,0,4583
2071,1,1,1,0,1,1,1,0,8475
7167,1,0,0,1,1,1,0,0,0
2583,1,0,1,1,1,1,0,1,0
3859,1,1,0,0,1,1,0,1,0
2491,1,1,0,0,1,1,1,0,4545
2045,1,1,0,0,1,1,0,1,7328
3155,1,1,0,0,1,1,1,0,4934
4950,1,0,0,0,1,1,0,0,0
2876,0,0,0,0,1,1,0,0,4436
3315,1,1,0,0,1,1,1,0,3315
2500,0,0,0,1,0,1,0,0,0
1863,1,1,1,0,1,1,1,0,0
3833,1,0,1,0,1,1,0,1,0
3859,1,1,0,0,1,1,0,1,0
2058,1,1,0,0,0,1,0,0,0
3229,1,0,0,0,1,1,0,0,0
3500,1,0,0,0,1,1,1,0,0
2167,1,1,1,0,1,1,0,0,0
2526,1,0,0,0,1,1,0,1,0
2346,1,0,1,0,1,1,1,0,0
3333,1,0,0,0,1,1,0,0,0
2679,1,0,1,0,1,1,1,0,3981
1926,1,0,0,0,1,1,1,0,0
3254,1,0,0,0,1,1,0,0,0
3200,1,1,0,0,1,1,0,0,7800
4750,1,1,0,0,1,1,0,0,0
4408,0,0,1,0,1,1,1,0,0
2239,1,1,1,0,1,1,0,0,4763
2666,1,1,0,0,1,1,0,1,0
3075,1,1,0,0,1,1,0,1,0
3717,1,1,0,0,1,1,1,0,7434
4166,0,0,0,0,1,1,1,0,0
3748,1,0,1,0,1,1,1,0,0
3159,0,0,0,0,1,1,1,0,0
